IdInscripcion;IdJugador;Tipo;Fecha;IdCT;IdEquipo;IdPosicion;;;;;;;;;;;;;
241;83;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
242;283;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
243;60;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
244;62;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
245;66;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
246;67;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
247;76;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
248;80;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
249;84;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
250;284;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
251;285;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
252;286;Deshabilitado;14/10/2023;7;1; ;;;;;;;;;;;;;
253;85;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
254;86;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
255;87;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
256;89;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
257;90;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
258;91;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
259;92;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
260;93;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
261;95;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
262;96;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
263;97;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
264;98;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
265;99;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
266;100;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
267;101;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
268;102;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
269;103;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
270;104;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
271;107;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
272;106;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
273;105;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
274;290;Habilitado;25/02/2023;8;1; ;;;;;;;;;;;;;
275;85;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
276;86;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
277;87;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
278;89;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
279;90;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
280;91;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
281;92;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
282;93;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
283;95;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
284;96;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
285;97;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
286;98;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
287;99;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
288;100;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
289;101;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
290;102;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
291;103;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
292;104;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
293;107;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
294;106;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
295;105;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
296;290;Deshabilitado;3/06/2023;8;1; ;;;;;;;;;;;;;
297;85;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
298;88;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
299;93;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
300;107;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
301;86;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
302;89;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
303;92;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
304;95;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
305;97;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
306;99;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
307;100;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
308;287;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
309;288;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
310;106;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
311;91;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
312;96;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
313;98;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
314;103;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
315;104;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
316;105;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
317;289;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
318;87;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
319;90;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
320;101;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
321;102;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
322;290;Habilitado;3/08/2023;9;1; ;;;;;;;;;;;;;
323;85;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
324;88;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
325;93;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
326;107;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
327;86;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
328;89;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
329;92;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
330;95;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
331;97;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
332;99;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
333;100;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
334;287;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
335;288;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
336;106;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
337;91;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
338;96;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
339;98;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
340;103;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
341;104;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
342;105;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
343;289;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
344;87;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
345;90;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
346;101;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
347;102;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
348;290;Deshabilitado;14/10/2023;9;1; ;;;;;;;;;;;;;
349;109;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
350;110;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
351;108;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
352;111;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
353;112;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
354;113;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
355;114;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
356;115;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
357;116;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
358;117;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
359;118;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
360;119;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
361;120;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
362;122;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
363;121;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
364;123;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
365;124;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
366;125;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
367;126;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
368;127;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
369;128;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
370;129;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
371;130;Habilitado;1/04/2023;10;1; ;;;;;;;;;;;;;
