IdPartido;IdCompeticionTemporada;Jornada;IdEquipoLocal;IdEquipoVisita;FechaPartido;NombreEvento;GolesLocal;GolesVisita;IsLocal;IsWon;;;;;;;;;;;;;;
127;7;12;2;1;29/07/2023;Temp. 2023 - CLAUSURA - Jornada: 12 - Cat. SUB-16 - Curicó Unido vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
128;7;13;1;14;15/07/2023;Temp. 2023 - CLAUSURA - Jornada: 13 - Cat. SUB-16 - Universidad de Chile vs Cobresal;1;2;1;0;;;;;;;;;;;;;;
129;7;14;6;1;19/07/2023;Temp. 2023 - CLAUSURA - Jornada: 14 - Cat. SUB-16 - Coquimbo Unido vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
130;7;15;18;1;3/08/2023;Temp. 2023 - CLAUSURA - Jornada: 15 - Cat. SUB-16 - Santiago Wanderers vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
131;8;1;5;1;25/02/2023;Temp. 2023 - APERTURA - Jornada: 1 - Cat. SUB-15 - Everton vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
132;8;2;1;8;1/03/2023;Temp. 2023 - APERTURA - Jornada: 2 - Cat. SUB-15 - Universidad de Chile vs Huachipato;6;1;1;1;;;;;;;;;;;;;;
133;8;3;10;1;4/03/2023;Temp. 2023 - APERTURA - Jornada: 3 - Cat. SUB-15 - Magallanes vs Universidad de Chile;1;6;0;1;;;;;;;;;;;;;;
134;8;4;1;27;11/03/2023;Temp. 2023 - APERTURA - Jornada: 4 - Cat. SUB-15 - Universidad de Chile vs O'Higgins;2;6;1;0;;;;;;;;;;;;;;
135;8;5;25;1;18/03/2023;Temp. 2023 - APERTURA - Jornada: 5 - Cat. SUB-15 - Palestino vs Universidad de Chile;2;0;0;0;;;;;;;;;;;;;;
136;8;6;1;13;25/02/2023;Temp. 2023 - APERTURA - Jornada: 6 - Cat. SUB-15 - Universidad de Chile vs Universidad Catolica;1;2;1;0;;;;;;;;;;;;;;
137;8;7;35;1;1/04/2023;Temp. 2023 - APERTURA - Jornada: 7 - Cat. SUB-15 - Universidad de Concepción vs Universidad de Chile;3;1;0;0;;;;;;;;;;;;;;
138;8;8;1;9;15/04/2023;Temp. 2023 - APERTURA - Jornada: 8 - Cat. SUB-15 - Universidad de Chile vs Unión Española;4;3;1;1;;;;;;;;;;;;;;
139;8;9;3;1;22/02/2023;Temp. 2023 - APERTURA - Jornada: 9 - Cat. SUB-15 - Colo-Colo vs Universidad de Chile;0;0;0;0;;;;;;;;;;;;;;
140;8;10;20;1;3/05/2023;Temp. 2023 - APERTURA - Jornada: 10 - Cat. SUB-15 - Deportes Temuco vs Universidad de Chile;0;1;0;1;;;;;;;;;;;;;;
141;8;11;1;4;6/05/2023;Temp. 2023 - APERTURA - Jornada: 11 - Cat. SUB-15 - Universidad de Chile vs Audax Italiano;0;2;1;0;;;;;;;;;;;;;;
142;8;12;1;2;13/05/2023;Temp. 2023 - APERTURA - Jornada: 12 - Cat. SUB-15 - Universidad de Chile vs Curicó Unido;2;0;1;1;;;;;;;;;;;;;;
143;8;13;14;1;20/05/2023;Temp. 2023 - APERTURA - Jornada: 13 - Cat. SUB-15 - Cobresal vs Universidad de Chile;2;1;0;0;;;;;;;;;;;;;;
144;8;14;1;6;27/05/2023;Temp. 2023 - APERTURA - Jornada: 14 - Cat. SUB-15 - Universidad de Chile vs Coquimbo Unido;0;0;1;0;;;;;;;;;;;;;;
145;8;15;1;18;3/06/2023;Temp. 2023 - APERTURA - Jornada: 15 - Cat. SUB-15 - Universidad de Chile vs Santiago Wanderers;1;6;1;0;;;;;;;;;;;;;;
146;9;1;1;5;6/08/2023;Temp. 2023 - CLAUSURA - Jornada: 1 - Cat. SUB-15 - Universidad de Chile vs Everton;1;4;1;0;;;;;;;;;;;;;;
147;9;2;8;1;12/08/2023;Temp. 2023 - CLAUSURA - Jornada: 2 - Cat. SUB-15 - Huachipato vs Universidad de Chile;1;2;0;1;;;;;;;;;;;;;;
148;9;3;1;10;20/08/2023;Temp. 2023 - CLAUSURA - Jornada: 3 - Cat. SUB-15 - Universidad de Chile vs Magallanes;3;1;1;1;;;;;;;;;;;;;;
149;9;4;27;1;16/08/2023;Temp. 2023 - CLAUSURA - Jornada: 4 - Cat. SUB-15 - O'Higgins vs Universidad de Chile;1;1;0;0;;;;;;;;;;;;;;
150;9;5;1;25;2/09/2023;Temp. 2023 - CLAUSURA - Jornada: 5 - Cat. SUB-15 - Universidad de Chile vs Palestino;0;1;1;0;;;;;;;;;;;;;;
